ID,Body Weight 1,Date Body Weight 1,Body Weight 2,Date Body Weight 2,Body Weight 3,Date Body Weight 2,,,,,
C57BL6J_M_1,23.81,10/5/24,23.82,10/12/24,24.11,10/19/24,,,,,
C57BL6J_M_2,22.27,10/5/24,22.09,10/12/24,22.62,10/19/24,,,,,
C57BL6J_M_3,23.12,10/5/24,23.22,10/12/24,22.86,10/19/24,,,,,
C57BL6J_M_4,23.23,10/5/24,22.84,10/12/24,23.22,10/19/24,,,,,
C57BL6J_F_5,19.89,10/5/24,20.14,10/12/24,19.71,10/19/24,,,,,
C57BL6J_M_6,22.71,10/5/24,22.59,10/12/24,22.80,10/19/24,,,,,
C57BL6J_M_7,19.33,10/5/24,19.18,10/12/24,19.58,10/19/24,,,,,
C57BL6J_M_8,26.21,10/5/24,25.76,10/12/24,26.67,10/19/24,,,,,
C57BL6J_F_9,21.33,10/5/24,21.43,10/12/24,20.93,10/19/24,,,,,
C57BL6J_F_10,25.55,10/5/24,25.86,10/12/24,24.98,10/19/24,,,,,
C57BL6J_F_11,24.48,10/5/24,24.58,10/12/24,24.74,10/19/24,,,,,
C57BL6J_F_12,21.70,10/5/24,21.75,10/12/24,21.42,10/19/24,,,,,
C57BL6J_F_13,21.05,10/5/24,21.27,10/12/24,21.47,10/19/24,,,,,
C57BL6J_F_14,22.36,10/5/24,22.49,10/12/24,22.50,10/19/24,,,,,
C57BL6J_F_15,20.01614,10/5/24,19.65,10/12/24,20.42,10/19/24,,,,,
C57BL6J_F_16,21.19,10/5/24,21.18,10/12/24,21.02,10/19/24,,,,,
C57BL6J_M_17,20.97,10/5/24,20.84,10/12/24,20.64,10/19/24,,,,,
C57BL6J_M_18,20.60,10/5/24,20.54,10/12/24,20.69,10/19/24,,,,,
C57BL6J_M_19,22.92,10/5/24,23.08,10/12/24,22.48,10/19/24,,,,,
C57BL6J_M_20,22.34,10/5/24,22.19,10/12/24,22.20,10/19/24,,,,,
C57BL6J_M_21,22.64,10/5/24,22.59,10/12/24,22.97,10/19/24,,,,,
C57BL6J_M_22,23.51,10/5/24,23.50,10/12/24,23.28,10/19/24,,,,,
C57BL6J_M_23,20.68,10/5/24,20.50,10/12/24,21.14,10/19/24,,,,,
C57BL6J_M_24,26.93,10/5/24,15.93,10/12/24,15.10,10/19/24,,,,,
C57BL6J_F_25,15.48,10/5/24,26.97,10/12/24,27.22,10/19/24,,,,,
C57BL6J_M_26,21.17,10/5/24,21.29,10/12/24,21.77,10/19/24,,,,,
C57BL6J_F_27,18.67,10/5/24,18.64,10/12/24,18.25,10/19/24,,,,,
C57BL6J_F_28,19.21,10/5/24,18.86,10/12/24,19.42,10/19/24,,,,,
C57BL6J_F_29,19.06,10/5/24,18.99,10/12/24,18.87,10/19/24,,,,,
C57BL6J_F_30,19.49,10/5/24,19.71,10/12/24,19.66,10/19/24,,,,,
C57BL6J_F_31,20.79,10/5/24,20.84,10/12/24,Dead,10/19/24,,,,,
C57BL6J_F_32,31.03,10/5/24,19.07,10/12/24,18.89,10/19/24,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
